index,w1,w5,q_max,bitline_min,temper,alter#
$DATA1,SOURCE='PrimeSim,HSPICE',VERSION='U-2023.03,linux6',PARAM_COUNT=3,.TITLE,'.include,'/home/taf27/hspice/libs/cmos_180nm_l49.lib''
index,w1,w5,q_max,bitline_min,temper,alter#
1,2.0000,2.0000,0.9759,7.469e-02,25.0000,1
2,2.0000,3.0000,0.9917,3.497e-02,25.0000,1
3,3.0000,2.0000,0.5629,6.257e-05,25.0000,1
4,2.0000,4.0000,0.6797,1.027e-03,25.0000,1
5,3.0000,3.0000,0.5207,6.056e-05,25.0000,1
6,4.0000,2.0000,0.4169,7.508e-06,25.0000,1
7,2.0000,5.0000,0.6638,9.874e-04,25.0000,1
8,3.0000,4.0000,0.5128,5.904e-05,25.0000,1
9,4.0000,3.0000,0.4124,7.600e-06,25.0000,1
10,5.0000,2.0000,0.3440,1.568e-06,25.0000,1
11,2.0000,6.0000,0.6564,9.604e-04,25.0000,1
12,3.0000,5.0000,0.5089,5.946e-05,25.0000,1
13,4.0000,4.0000,0.4105,7.676e-06,25.0000,1
14,5.0000,3.0000,0.3427,1.673e-06,25.0000,1
15,6.0000,2.0000,0.2938,5.187e-07,25.0000,1
16,2.0000,7.0000,0.6519,9.499e-04,25.0000,1
17,3.0000,6.0000,0.5066,5.828e-05,25.0000,1
18,4.0000,5.0000,0.4094,7.833e-06,25.0000,1
19,5.0000,4.0000,0.3421,1.769e-06,25.0000,1
20,6.0000,3.0000,0.2935,5.965e-07,25.0000,1
21,7.0000,2.0000,0.2567,2.518e-07,25.0000,1
22,2.0000,8.0000,0.6490,9.421e-04,25.0000,1
23,3.0000,7.0000,0.5051,5.849e-05,25.0000,1
24,4.0000,6.0000,0.4086,7.898e-06,25.0000,1
25,5.0000,5.0000,0.3418,1.860e-06,25.0000,1
26,6.0000,4.0000,0.2933,6.819e-07,25.0000,1
27,7.0000,3.0000,0.2566,3.368e-07,25.0000,1
28,8.0000,2.0000,0.2278,1.546e-07,25.0000,1
29,2.0000,9.0000,0.6468,9.365e-04,25.0000,1
30,3.0000,8.0000,0.5040,5.847e-05,25.0000,1
31,4.0000,7.0000,0.4081,7.969e-06,25.0000,1
32,5.0000,6.0000,0.3416,1.976e-06,25.0000,1
33,6.0000,5.0000,0.2932,7.568e-07,25.0000,1
34,7.0000,4.0000,0.2565,3.831e-07,25.0000,1
35,8.0000,3.0000,0.2278,2.272e-07,25.0000,1
36,9.0000,2.0000,0.2047,1.257e-07,25.0000,1
