index,w1,w5,q_max,bitline_min,temper,alter#
$DATA1,SOURCE='PrimeSim,HSPICE',VERSION='U-2023.03,linux6',PARAM_COUNT=3,.TITLE,'.include,'/home/taf27/hspice/libs/cmos_180nm_l49.lib''
index,w1,w5,min_write,temper,alter#
1,2.0000,2.0000,-7.512e-05,25.0000,1
2,2.0000,3.0000,-7.082e-05,25.0000,1
3,3.0000,2.0000,-7.417e-05,25.0000,1
4,2.0000,4.0000,-7.281e-05,25.0000,1
5,3.0000,3.0000,-6.246e-05,25.0000,1
6,4.0000,2.0000,-1.312e-04,25.0000,1
7,2.0000,5.0000,-1.116e-04,25.0000,1
8,3.0000,4.0000,-6.163e-05,25.0000,1
9,4.0000,3.0000,-6.883e-05,25.0000,1
10,5.0000,2.0000,-1.006e-04,25.0000,1
11,2.0000,6.0000,-6.243e-05,25.0000,1
12,3.0000,5.0000,-5.681e-05,25.0000,1
13,4.0000,4.0000,-1.014e-04,25.0000,1
14,5.0000,3.0000,-6.190e-05,25.0000,1
15,6.0000,2.0000,-1.099e-04,25.0000,1
16,2.0000,7.0000,-8.181e-04,25.0000,1
17,3.0000,6.0000,-3.477e-05,25.0000,1
18,4.0000,5.0000,-7.485e-05,25.0000,1
19,5.0000,4.0000,-7.290e-05,25.0000,1
20,6.0000,3.0000,-4.769e-05,25.0000,1
21,7.0000,2.0000,-1.165e-04,25.0000,1
22,2.0000,8.0000,-5.976e-05,25.0000,1
23,3.0000,7.0000,-3.106e-05,25.0000,1
24,4.0000,6.0000,-7.487e-05,25.0000,1
25,5.0000,5.0000,-6.772e-05,25.0000,1
26,6.0000,4.0000,-6.967e-05,25.0000,1
27,7.0000,3.0000,-5.493e-05,25.0000,1
28,8.0000,2.0000,-7.064e-05,25.0000,1
29,2.0000,9.0000,-2.040e-05,25.0000,1
30,3.0000,8.0000,-7.161e-05,25.0000,1
31,4.0000,7.0000,-3.152e-03,25.0000,1
32,5.0000,6.0000,-7.286e-05,25.0000,1
33,6.0000,5.0000,-7.851e-05,25.0000,1
34,7.0000,4.0000,-8.752e-05,25.0000,1
35,8.0000,3.0000,-4.964e-05,25.0000,1
36,9.0000,2.0000,-5.563e-05,25.0000,1
37,2.0000,10.0000,-6.587e-05,25.0000,1
38,3.0000,9.0000,-2.887e-05,25.0000,1
39,4.0000,8.0000,-4.190e-05,25.0000,1
40,5.0000,7.0000,-3.960e-03,25.0000,1
41,6.0000,6.0000,-7.635e-05,25.0000,1
42,7.0000,5.0000,-4.619e-05,25.0000,1
43,8.0000,4.0000,-8.273e-05,25.0000,1
44,9.0000,3.0000,-4.136e-05,25.0000,1
45,10.0000,2.0000,-5.620e-05,25.0000,1
46,2.0000,11.0000,4.365e-07,25.0000,1
47,3.0000,10.0000,-1.036e-05,25.0000,1
48,4.0000,9.0000,-4.020e-05,25.0000,1
49,5.0000,8.0000,-4.257e-05,25.0000,1
50,6.0000,7.0000,-3.350e-03,25.0000,1
51,7.0000,6.0000,-8.186e-05,25.0000,1
52,8.0000,5.0000,-4.669e-05,25.0000,1
53,9.0000,4.0000,-8.389e-05,25.0000,1
54,10.0000,3.0000,-4.361e-05,25.0000,1
55,11.0000,2.0000,-5.605e-05,25.0000,1
56,2.0000,12.0000,-2.317e-02,25.0000,1
57,3.0000,11.0000,-1.252e-05,25.0000,1
58,4.0000,10.0000,-1.952e-05,25.0000,1
59,5.0000,9.0000,-1.409e-05,25.0000,1
60,6.0000,8.0000,-5.892e-05,25.0000,1
61,7.0000,7.0000,-2.561e-03,25.0000,1
62,8.0000,6.0000,-3.164e-05,25.0000,1
63,9.0000,5.0000,-6.116e-05,25.0000,1
64,10.0000,4.0000,-3.695e-05,25.0000,1
65,11.0000,3.0000,-4.772e-05,25.0000,1
66,12.0000,2.0000,-7.334e-03,25.0000,1
67,2.0000,13.0000,8.333e-07,25.0000,1
68,3.0000,12.0000,-3.789e-06,25.0000,1
69,4.0000,11.0000,-2.493e-02,25.0000,1
70,5.0000,10.0000,-3.782e-05,25.0000,1
71,6.0000,9.0000,-4.594e-05,25.0000,1
72,7.0000,8.0000,-4.636e-05,25.0000,1
73,8.0000,7.0000,-2.366e-03,25.0000,1
74,9.0000,6.0000,-3.870e-05,25.0000,1
75,10.0000,5.0000,-7.570e-05,25.0000,1
76,11.0000,4.0000,-3.808e-05,25.0000,1
77,12.0000,3.0000,-6.075e-05,25.0000,1
78,13.0000,2.0000,-6.996e-05,25.0000,1
79,2.0000,14.0000,-2.710e-04,25.0000,1
80,3.0000,13.0000,-1.019e-05,25.0000,1
81,4.0000,12.0000,-1.559e-05,25.0000,1
82,5.0000,11.0000,-3.866e-05,25.0000,1
83,6.0000,10.0000,-1.339e-05,25.0000,1
84,7.0000,9.0000,-4.139e-05,25.0000,1
85,8.0000,8.0000,-5.797e-05,25.0000,1
86,9.0000,7.0000,-2.078e-03,25.0000,1
87,10.0000,6.0000,-5.294e-05,25.0000,1
88,11.0000,5.0000,-4.711e-05,25.0000,1
89,12.0000,4.0000,-4.681e-05,25.0000,1
90,13.0000,3.0000,-6.108e-05,25.0000,1
91,14.0000,2.0000,-6.601e-05,25.0000,1
92,2.0000,15.0000,-5.442e-06,25.0000,1
93,3.0000,14.0000,4.610e-07,25.0000,1
94,4.0000,13.0000,-1.904e-05,25.0000,1
95,5.0000,12.0000,-4.135e-05,25.0000,1
96,6.0000,11.0000,-3.660e-05,25.0000,1
97,7.0000,10.0000,-2.015e-05,25.0000,1
98,8.0000,9.0000,-4.352e-05,25.0000,1
99,9.0000,8.0000,-3.204e-05,25.0000,1
100,10.0000,7.0000,-1.727e-03,25.0000,1
101,11.0000,6.0000,-1.008e-02,25.0000,1
102,12.0000,5.0000,-4.606e-05,25.0000,1
103,13.0000,4.0000,-4.825e-05,25.0000,1
104,14.0000,3.0000,-5.226e-05,25.0000,1
105,15.0000,2.0000,-5.972e-05,25.0000,1
106,2.0000,16.0000,-2.225e-06,25.0000,1
107,3.0000,15.0000,-6.073e-06,25.0000,1
108,4.0000,14.0000,-1.328e-06,25.0000,1
109,5.0000,13.0000,-2.180e-06,25.0000,1
110,6.0000,12.0000,-5.397e-06,25.0000,1
111,7.0000,11.0000,-1.797e-05,25.0000,1
112,8.0000,10.0000,-4.196e-05,25.0000,1
113,9.0000,9.0000,-5.369e-05,25.0000,1
114,10.0000,8.0000,-4.835e-05,25.0000,1
115,11.0000,7.0000,-2.921e-05,25.0000,1
116,12.0000,6.0000,-9.176e-03,25.0000,1
117,13.0000,5.0000,-5.244e-05,25.0000,1
118,14.0000,4.0000,-4.943e-05,25.0000,1
119,15.0000,3.0000,-4.923e-05,25.0000,1
120,16.0000,2.0000,-5.255e-05,25.0000,1
121,2.0000,17.0000,9.380e-07,25.0000,1
122,3.0000,16.0000,-5.368e-06,25.0000,1
123,4.0000,15.0000,-4.332e-06,25.0000,1
124,5.0000,14.0000,-3.877e-06,25.0000,1
125,6.0000,13.0000,-6.942e-06,25.0000,1
126,7.0000,12.0000,-3.774e-06,25.0000,1
127,8.0000,11.0000,-2.768e-07,25.0000,1
128,9.0000,10.0000,-1.561e-05,25.0000,1
129,10.0000,9.0000,-2.873e-05,25.0000,1
130,11.0000,8.0000,-2.513e-05,25.0000,1
131,12.0000,7.0000,-5.500e-05,25.0000,1
132,13.0000,6.0000,-8.252e-03,25.0000,1
133,14.0000,5.0000,-5.424e-05,25.0000,1
134,15.0000,4.0000,-5.013e-05,25.0000,1
135,16.0000,3.0000,-1.784e-02,25.0000,1
136,17.0000,2.0000,-5.592e-05,25.0000,1
137,2.0000,18.0000,-3.169e-06,25.0000,1
138,3.0000,17.0000,-1.833e-06,25.0000,1
139,4.0000,16.0000,-2.381e-05,25.0000,1
140,5.0000,15.0000,-5.432e-05,25.0000,1
141,6.0000,14.0000,-4.070e-05,25.0000,1
142,7.0000,13.0000,-9.537e-05,25.0000,1
143,8.0000,12.0000,-1.051e-05,25.0000,1
144,9.0000,11.0000,-8.484e-06,25.0000,1
145,10.0000,10.0000,-1.082e-06,25.0000,1
146,11.0000,9.0000,-1.227e-05,25.0000,1
147,12.0000,8.0000,-4.893e-05,25.0000,1
148,13.0000,7.0000,-9.841e-04,25.0000,1
149,14.0000,6.0000,-7.375e-03,25.0000,1
150,15.0000,5.0000,-5.450e-05,25.0000,1
151,16.0000,4.0000,-4.794e-05,25.0000,1
152,17.0000,3.0000,-2.943e-02,25.0000,1
153,18.0000,2.0000,-5.104e-05,25.0000,1
154,2.0000,19.0000,-1.331e-06,25.0000,1
155,3.0000,18.0000,-4.346e-05,25.0000,1
156,4.0000,17.0000,-2.687e-05,25.0000,1
157,5.0000,16.0000,-8.018e-06,25.0000,1
158,6.0000,15.0000,-4.222e-07,25.0000,1
159,7.0000,14.0000,-1.049e-06,25.0000,1
160,8.0000,13.0000,-4.951e-06,25.0000,1
161,9.0000,12.0000,-2.461e-06,25.0000,1
162,10.0000,11.0000,-1.131e-02,25.0000,1
163,11.0000,10.0000,-4.232e-03,25.0000,1
164,12.0000,9.0000,-1.165e-03,25.0000,1
165,13.0000,8.0000,-1.821e-05,25.0000,1
166,14.0000,7.0000,-8.799e-04,25.0000,1
167,15.0000,6.0000,-6.511e-03,25.0000,1
168,16.0000,5.0000,-5.217e-05,25.0000,1
169,17.0000,4.0000,-5.258e-05,25.0000,1
170,18.0000,3.0000,-4.676e-05,25.0000,1
171,19.0000,2.0000,-3.003e-05,25.0000,1
172,2.0000,20.0000,-3.810e-05,25.0000,1
173,3.0000,19.0000,-2.715e-04,25.0000,1
174,4.0000,18.0000,-2.843e-06,25.0000,1
175,5.0000,17.0000,-5.096e-06,25.0000,1
176,6.0000,16.0000,-5.437e-06,25.0000,1
177,7.0000,15.0000,-6.834e-06,25.0000,1
178,8.0000,14.0000,-2.301e-06,25.0000,1
179,9.0000,13.0000,-8.391e-06,25.0000,1
180,10.0000,12.0000,-4.014e-07,25.0000,1
181,11.0000,11.0000,-1.163e-02,25.0000,1
182,12.0000,10.0000,-4.519e-03,25.0000,1
183,13.0000,9.0000,-1.397e-03,25.0000,1
184,14.0000,8.0000,-1.927e-06,25.0000,1
185,15.0000,7.0000,-6.548e-04,25.0000,1
186,16.0000,6.0000,-5.657e-03,25.0000,1
187,17.0000,5.0000,-4.923e-05,25.0000,1
188,18.0000,4.0000,-5.728e-05,25.0000,1
189,19.0000,3.0000,-4.458e-05,25.0000,1
190,20.0000,2.0000,-2.991e-05,25.0000,1
191,3.0000,20.0000,-2.600e-06,25.0000,1
192,4.0000,19.0000,-7.734e-06,25.0000,1
193,5.0000,18.0000,-3.682e-06,25.0000,1
194,6.0000,17.0000,-4.950e-06,25.0000,1
195,7.0000,16.0000,-6.473e-06,25.0000,1
196,8.0000,15.0000,-3.181e-06,25.0000,1
197,9.0000,14.0000,-4.098e-06,25.0000,1
198,10.0000,13.0000,-1.918e-06,25.0000,1
199,11.0000,12.0000,-4.620e-06,25.0000,1
200,12.0000,11.0000,-1.479e-06,25.0000,1
201,13.0000,10.0000,-3.052e-06,25.0000,1
202,14.0000,9.0000,-1.463e-03,25.0000,1
203,15.0000,8.0000,-2.808e-06,25.0000,1
204,16.0000,7.0000,-3.923e-04,25.0000,1
205,17.0000,6.0000,-4.817e-03,25.0000,1
206,18.0000,5.0000,-4.549e-05,25.0000,1
207,19.0000,4.0000,-4.572e-05,25.0000,1
208,20.0000,3.0000,-3.457e-05,25.0000,1
209,4.0000,20.0000,-2.973e-06,25.0000,1
210,5.0000,19.0000,-2.451e-06,25.0000,1
211,6.0000,18.0000,-7.034e-06,25.0000,1
212,7.0000,17.0000,-4.648e-06,25.0000,1
213,8.0000,16.0000,-3.586e-06,25.0000,1
214,9.0000,15.0000,-6.191e-06,25.0000,1
215,10.0000,14.0000,-5.358e-06,25.0000,1
216,11.0000,13.0000,-2.786e-06,25.0000,1
217,12.0000,12.0000,-2.131e-06,25.0000,1
218,13.0000,11.0000,-7.338e-06,25.0000,1
219,14.0000,10.0000,-2.704e-06,25.0000,1
220,15.0000,9.0000,-2.191e-06,25.0000,1
221,16.0000,8.0000,-2.510e-06,25.0000,1
222,17.0000,7.0000,-1.426e-04,25.0000,1
223,18.0000,6.0000,-4.004e-03,25.0000,1
224,19.0000,5.0000,-4.491e-05,25.0000,1
225,20.0000,4.0000,-3.365e-05,25.0000,1
226,5.0000,20.0000,-5.142e-06,25.0000,1
227,6.0000,19.0000,-5.542e-06,25.0000,1
228,7.0000,18.0000,-4.643e-06,25.0000,1
229,8.0000,17.0000,-4.033e-06,25.0000,1
230,9.0000,16.0000,-1.528e-06,25.0000,1
231,10.0000,15.0000,-3.692e-06,25.0000,1
232,11.0000,14.0000,-3.881e-06,25.0000,1
233,12.0000,13.0000,-3.143e-06,25.0000,1
234,13.0000,12.0000,-3.075e-06,25.0000,1
235,14.0000,11.0000,-6.143e-06,25.0000,1
236,15.0000,10.0000,-1.637e-06,25.0000,1
237,16.0000,9.0000,-3.049e-06,25.0000,1
238,17.0000,8.0000,-3.021e-05,25.0000,1
239,18.0000,7.0000,-2.500e-06,25.0000,1
240,19.0000,6.0000,-3.725e-03,25.0000,1
241,20.0000,5.0000,-4.536e-05,25.0000,1
242,6.0000,20.0000,-3.481e-06,25.0000,1
243,7.0000,19.0000,-3.890e-06,25.0000,1
244,8.0000,18.0000,1.2612,25.0000,1
245,9.0000,17.0000,-1.223e-06,25.0000,1
246,10.0000,16.0000,-5.539e-06,25.0000,1
247,11.0000,15.0000,-2.876e-06,25.0000,1
248,12.0000,14.0000,-8.457e-06,25.0000,1
249,13.0000,13.0000,-2.202e-06,25.0000,1
250,14.0000,12.0000,-5.835e-06,25.0000,1
251,15.0000,11.0000,-6.051e-06,25.0000,1
252,16.0000,10.0000,-8.271e-06,25.0000,1
253,17.0000,9.0000,-1.769e-06,25.0000,1
254,18.0000,8.0000,-5.942e-09,25.0000,1
255,19.0000,7.0000,-6.165e-06,25.0000,1
256,20.0000,6.0000,-3.425e-03,25.0000,1
257,7.0000,20.0000,1.3634,25.0000,1
258,8.0000,19.0000,1.3524,25.0000,1
259,9.0000,18.0000,1.3299,25.0000,1
260,10.0000,17.0000,1.2968,25.0000,1
261,11.0000,16.0000,1.2486,25.0000,1
262,12.0000,15.0000,-2.956e-06,25.0000,1
263,13.0000,14.0000,-1.926e-05,25.0000,1
264,14.0000,13.0000,-1.352e-05,25.0000,1
265,15.0000,12.0000,-4.542e-06,25.0000,1
266,16.0000,11.0000,-6.783e-06,25.0000,1
267,17.0000,10.0000,-7.225e-06,25.0000,1
268,18.0000,9.0000,-3.304e-07,25.0000,1
269,19.0000,8.0000,-3.867e-06,25.0000,1
270,20.0000,7.0000,-3.981e-07,25.0000,1
271,8.0000,20.0000,1.3930,25.0000,1
272,9.0000,19.0000,1.3748,25.0000,1
273,10.0000,18.0000,1.3498,25.0000,1
274,11.0000,17.0000,1.3171,25.0000,1
275,12.0000,16.0000,1.2736,25.0000,1
276,13.0000,15.0000,1.2101,25.0000,1
277,14.0000,14.0000,-2.253e-06,25.0000,1
278,15.0000,13.0000,-7.747e-07,25.0000,1
279,16.0000,12.0000,-2.409e-05,25.0000,1
280,17.0000,11.0000,-1.676e-06,25.0000,1
281,18.0000,10.0000,-2.242e-06,25.0000,1
282,19.0000,9.0000,-2.658e-06,25.0000,1
283,20.0000,8.0000,-1.281e-05,25.0000,1
284,9.0000,20.0000,1.4082,25.0000,1
285,10.0000,19.0000,1.3879,25.0000,1
286,11.0000,18.0000,1.3622,25.0000,1
287,12.0000,17.0000,1.3299,25.0000,1
288,13.0000,16.0000,1.2885,25.0000,1
289,14.0000,15.0000,1.2321,25.0000,1
290,15.0000,14.0000,1.1341,25.0000,1
291,16.0000,13.0000,3.265e-08,25.0000,1
292,17.0000,12.0000,-7.241e-06,25.0000,1
293,18.0000,11.0000,-3.485e-06,25.0000,1
294,19.0000,10.0000,-6.467e-06,25.0000,1
295,20.0000,9.0000,-1.977e-06,25.0000,1
296,10.0000,20.0000,1.4181,25.0000,1
297,11.0000,19.0000,1.3970,25.0000,1
298,12.0000,18.0000,1.3710,25.0000,1
299,13.0000,17.0000,1.3390,25.0000,1
300,14.0000,16.0000,1.2989,25.0000,1
301,15.0000,15.0000,1.2460,25.0000,1
302,16.0000,14.0000,1.1667,25.0000,1
303,17.0000,13.0000,-5.203e-06,25.0000,1
304,18.0000,12.0000,-3.981e-06,25.0000,1
305,19.0000,11.0000,-1.138e-05,25.0000,1
306,20.0000,10.0000,-1.156e-05,25.0000,1
307,11.0000,20.0000,1.4253,25.0000,1
308,12.0000,19.0000,1.4037,25.0000,1
309,13.0000,18.0000,1.3777,25.0000,1
310,14.0000,17.0000,1.3460,25.0000,1
311,15.0000,16.0000,1.3068,25.0000,1
312,16.0000,15.0000,1.2561,25.0000,1
313,17.0000,14.0000,1.1843,25.0000,1
314,18.0000,13.0000,-3.509e-06,25.0000,1
315,19.0000,12.0000,-4.763e-06,25.0000,1
316,20.0000,11.0000,-7.794e-06,25.0000,1
317,12.0000,20.0000,1.4308,25.0000,1
318,13.0000,19.0000,1.4090,25.0000,1
319,14.0000,18.0000,1.3829,25.0000,1
320,15.0000,17.0000,1.3515,25.0000,1
321,16.0000,16.0000,1.3130,25.0000,1
322,17.0000,15.0000,1.2640,25.0000,1
323,18.0000,14.0000,1.1966,25.0000,1
324,19.0000,13.0000,1.0730,25.0000,1
325,20.0000,12.0000,-8.967e-06,25.0000,1
326,13.0000,20.0000,1.4352,25.0000,1
327,14.0000,19.0000,1.4132,25.0000,1
328,15.0000,18.0000,1.3872,25.0000,1
329,16.0000,17.0000,1.3561,25.0000,1
330,17.0000,16.0000,1.3181,25.0000,1
